Open time,Quote asset volume,Number of trades,Taker buy base asset volume,aroon_down,stoch,class
1677715200000,5603770010.239548,7435815,119522.00584,32.0,29.40348101265821,0
1677801600000,7167184765.7436495,8214639,156827.31366,28.000000000000004,11.687258110263574,0
1677888000000,2706422995.680256,4169260,60043.33153,24.0,11.45028622665732,-1
1677974400000,3473011455.187952,4835978,77394.35765,20.0,14.00207998487286,1
1678060800000,4569102169.18569,6471278,102110.26304,16.0,13.38479415164368,0
1678147200000,6517594938.246053,7813394,145498.64219,12.0,10.138479901518718,0
1678233600000,6641171704.242421,8018963,150008.02488,8.0,4.154206365764845,0
1678320000000,9403028764.707771,10076702,217900.59621,100.0,7.812442690414541,0
1678406400000,12344992788.912497,12106261,308155.80993,100.0,13.516337108591244,-1
1678492800000,8651590672.468525,10412300,213151.47855,96.0,20.36976708133841,0
1678579200000,8982418413.80114,9721933,218639.0688,92.0,55.00043811265563,0
1678665600000,15824996078.60564,14820760,346688.17025,88.0,92.19295038689856,0
1678752000000,17465307097.88407,15223589,351739.11994,84.0,74.89740822313676,1
1678838400000,14291005743.897852,12613034,291192.86696,80.0,69.27058197251156,-1
1678924800000,10847330151.941004,10418081,220403.30289,76.0,79.69969785515181,0
1679011200000,16476681071.24338,13113359,318022.61356,72.0,95.59306752764157,1
1679097600000,10135945069.642628,9948603,185687.70768,68.0,89.65185343120832,-1
1679184000000,10264707987.594164,9578297,188150.56147,64.0,95.28074281105891,1
1679270400000,13300424536.51492,11775950,239765.29148,60.0,91.53874688862712,-1
1679356800000,11760492716.33759,11530870,210472.34027,56.00000000000001,95.89225936381744,1
1679443200000,6272099822.449624,3589327,110355.97386,52.0,82.64741988376387,-1
1679529600000,3591123573.1149583,2159091,65172.02479,48.0,93.85510829534628,1
1679616000000,2403443392.0273013,1511137,41449.56122,44.0,84.47130732438248,-1
1679702400000,1397227639.2141378,1088721,25326.94876,40.0,83.65678195278835,0
1679788800000,1380973402.9961205,1068196,25248.15818,36.0,87.24158901755982,1
1679875200000,2407130888.034605,1575264,43151.91539,32.0,64.93452153446923,-1
1679961600000,2124533606.765556,1521981,38972.61486,28.000000000000004,67.67355313713263,0
1680048000000,2519887866.2111588,1704217,45742.08025,24.0,89.05280239407381,1
